source,target
1EXjXQpDx2pROygh8zvHs4,7qAoXV4U0qDxQAUqhszjAA
1EXjXQpDx2pROygh8zvHs4,3iY9PS7LxPnCVcCP7BjJOK
1EXjXQpDx2pROygh8zvHs4,5gOJTI4TusSENizxhcG7jB
1EXjXQpDx2pROygh8zvHs4,1nwjHzOUQZsNYX8xoWiGVC
1EXjXQpDx2pROygh8zvHs4,6FOpWOxsjQxKEbLiJpU1xV
1EXjXQpDx2pROygh8zvHs4,1QJbbsxg2wqidJj51d3otw
1EXjXQpDx2pROygh8zvHs4,05xSLrRgGwm2nCH2SmnNMW
1EXjXQpDx2pROygh8zvHs4,40Ippe6JeofRURQ4nbF8DT
1EXjXQpDx2pROygh8zvHs4,7D62OQfwvslnxJn9DkZm2F
1EXjXQpDx2pROygh8zvHs4,0UkT6v5uBVrNrDr5TdETq9
1EXjXQpDx2pROygh8zvHs4,5GQlOJYwr218kW30YhWpG6
1EXjXQpDx2pROygh8zvHs4,7p5J8SfKU9Rulp7tcA53G8
1EXjXQpDx2pROygh8zvHs4,2wkoKEfS6dXwThbyTnZWFU
1EXjXQpDx2pROygh8zvHs4,39yVoqm6sYFvvqF1RciUVf
1EXjXQpDx2pROygh8zvHs4,0BqURncJM5B1BBu7UM51eq
1EXjXQpDx2pROygh8zvHs4,3E3qsTzCvTX13A1Zrw7Wnf
1EXjXQpDx2pROygh8zvHs4,7eLcDZDYHXZCebtQmVFL25
1EXjXQpDx2pROygh8zvHs4,22P1OY4TRFRwhP0q29loQ8
1EXjXQpDx2pROygh8zvHs4,0GWdY55YF6xzN5L1A0X8nq
1EXjXQpDx2pROygh8zvHs4,5DUlefCLzVRzNWaNURTFpK
1EXjXQpDx2pROygh8zvHs4,4vhNDa5ycK0ST968ek7kRr
1EXjXQpDx2pROygh8zvHs4,5sUrlPAHlS9NEirDB8SEbF
1EXjXQpDx2pROygh8zvHs4,5ACyfaynUH9FpBaR8uZprQ
1EXjXQpDx2pROygh8zvHs4,5xd2Tg7Zo8755eCy8Gxkp8
1EXjXQpDx2pROygh8zvHs4,6tkyhGe9hGI3Lcfo4gVh6Z
1EXjXQpDx2pROygh8zvHs4,7caiLUNvOLW4Hs2Cb78JeY
1EXjXQpDx2pROygh8zvHs4,0ZHPrnImGh4re3TbSNkoZl
1EXjXQpDx2pROygh8zvHs4,4j0Oi9KU6tQB5SV80mQNHO
1EXjXQpDx2pROygh8zvHs4,13yrUyUFpld9jQtmQkqR5K
7qAoXV4U0qDxQAUqhszjAA,6UelqIK8qwhWFc2f6nSEh8
7qAoXV4U0qDxQAUqhszjAA,4V8Sr092TqfHkfAA5fXXqG
7qAoXV4U0qDxQAUqhszjAA,28gNT5KBp7IjEOQoevXf9N
7qAoXV4U0qDxQAUqhszjAA,3TLGNOdp1UWYMnV5XG9HkR
7qAoXV4U0qDxQAUqhszjAA,0UWZUmn7sybxMCqrw9tGa7
7qAoXV4U0qDxQAUqhszjAA,3skUHmTNpFUxTZaVxgvhF7
7qAoXV4U0qDxQAUqhszjAA,5kSJMVPcTITrSZxTrHllVN
7qAoXV4U0qDxQAUqhszjAA,0BwjxWHTct80Qp5Xk7pxZj
7qAoXV4U0qDxQAUqhszjAA,5sqVBfJ96nXdHOG7jiWvKh
7qAoXV4U0qDxQAUqhszjAA,1dhhcNPTwfTrCjfUsrGK3C
7qAoXV4U0qDxQAUqhszjAA,6CkxdsUcfqkBviY2N6xsVA
7qAoXV4U0qDxQAUqhszjAA,66ihevNkSYNzRAl44dx6jJ
7qAoXV4U0qDxQAUqhszjAA,1EXjXQpDx2pROygh8zvHs4
7qAoXV4U0qDxQAUqhszjAA,5C4PDR4LnhZTbVnKWXuDKD
7qAoXV4U0qDxQAUqhszjAA,4boI7bJtmB1L3b1cuL75Zr
7qAoXV4U0qDxQAUqhszjAA,6IdtcAwaNVAggwd6sCKgTI
7qAoXV4U0qDxQAUqhszjAA,796OSRuB0E9Hq55uTFL9U8
7qAoXV4U0qDxQAUqhszjAA,6oaqXcTI16QinRDKLtkMaI
7qAoXV4U0qDxQAUqhszjAA,1CWfLlYFee5DaOvGAAbjNv
7qAoXV4U0qDxQAUqhszjAA,6FOpWOxsjQxKEbLiJpU1xV
2hRgsNuAo7lhUqmrl25WD5,2hRgsNuAo7lhUqmrl25WD5
2hRgsNuAo7lhUqmrl25WD5,7oeyEGN0XiJUynY5Zit8Gu
2hRgsNuAo7lhUqmrl25WD5,4hRRLxPluhSwY9pwayJiBp
2hRgsNuAo7lhUqmrl25WD5,4GV4Ftpx1owKKokpxlzAg3
5gOJTI4TusSENizxhcG7jB,0qNxyg3R90E71P2zC2kLCl
5gOJTI4TusSENizxhcG7jB,4uyqaioPEdClDxU6zvYlAZ
5gOJTI4TusSENizxhcG7jB,61qfSv4evYu82cqyJ7SRYn
5gOJTI4TusSENizxhcG7jB,2urF8dgLVfDjunO0pcHUEe
5gOJTI4TusSENizxhcG7jB,7eLcDZDYHXZCebtQmVFL25
5gOJTI4TusSENizxhcG7jB,3nlpTZci9O5W8RsNoNH559
5gOJTI4TusSENizxhcG7jB,5pKCCKE2ajJHZ9KAiaK11H
5gOJTI4TusSENizxhcG7jB,5YGY8feqx7naU7z4HrwZM6
5gOJTI4TusSENizxhcG7jB,3tJnB0s6c3oXPq1SCCavnd
5gOJTI4TusSENizxhcG7jB,796OSRuB0E9Hq55uTFL9U8
5gOJTI4TusSENizxhcG7jB,0XwVARXT135rw8lyw1EeWP
5gOJTI4TusSENizxhcG7jB,2MRBDr0crHWE5JwPceFncq
5gOJTI4TusSENizxhcG7jB,6FOpWOxsjQxKEbLiJpU1xV
5gOJTI4TusSENizxhcG7jB,7vXDAI8JwjW531ouMGbfcp
5gOJTI4TusSENizxhcG7jB,07YUOmWljBTXwIseAUd9TW
5gOJTI4TusSENizxhcG7jB,5dbaLmK5SHLLg8Z4CcTJpX
5gOJTI4TusSENizxhcG7jB,6sq1yF0OZEWA4xoXVKW1L9
5gOJTI4TusSENizxhcG7jB,1ackd5XprZEkH3McKbQD51
5gOJTI4TusSENizxhcG7jB,4xFUf1FHVy696Q1JQZMTRj
5gOJTI4TusSENizxhcG7jB,4ZfTpxwHwtot9Ps59bXAF8
5gOJTI4TusSENizxhcG7jB,1ADdpen72RPuafRcv0YRBf
5gOJTI4TusSENizxhcG7jB,7K9rdoOJSiKXoVXPlSkGKT
5gOJTI4TusSENizxhcG7jB,5JfkzRrPKWcMQenALP3UKL
5gOJTI4TusSENizxhcG7jB,0gzwXezN4IUHAwLufA6YcX
5gOJTI4TusSENizxhcG7jB,7s8qj3Bzbzoyw1t1y88GuX
