id,label,followers,genres,popularity,image_url
1EXjXQpDx2pROygh8zvHs4,Melendi,4327095,"flamenco, flamenco pop",74,https://i.scdn.co/image/ab6761610000e5eb69b92908b14aa8f0b4cd175d
7qAoXV4U0qDxQAUqhszjAA,Manuel Carrasco,2311283,"flamenco, flamenco pop",67,https://i.scdn.co/image/ab6761610000e5ebec6144d3c97807cd7637ec8d
6UelqIK8qwhWFc2f6nSEh8,Niña Pastori,812101,"flamenco, flamenco pop",59,https://i.scdn.co/image/ab6761610000e5ebe0b99081b685f47f62d67fa0
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,10783808,latin,74,https://i.scdn.co/image/ab6761610000e5eb2620d7e19f51d9c4b7e853ce
28gNT5KBp7IjEOQoevXf9N,Camilo,19884591,colombian pop,81,https://i.scdn.co/image/ab6761610000e5eb4d8a681290f905bc52a05c5c
1r4hJ1h58CWwUQe3MxPuau,Maluma,36199980,"reggaeton, latin, urbano latino",86,https://i.scdn.co/image/ab6761610000e5eba9bc74fbec09e03f06cddf44
0UWZUmn7sybxMCqrw9tGa7,Juanes,5197220,"latin pop, colombian pop, rock en español",76,https://i.scdn.co/image/ab6761610000e5eb330d24db775125dcec2c7b4c
3skUHmTNpFUxTZaVxgvhF7,Raimundo Amador,56294,"flamenco, flamenco pop",36,https://i.scdn.co/image/ab67616d0000b273e59eb781f69d88f781b589e4
5kSJMVPcTITrSZxTrHllVN,Vanesa Martín,1188608,"flamenco pop, flamenco",63,https://i.scdn.co/image/ab6761610000e5eb442b771d03a03c43971e5072
0BwjxWHTct80Qp5Xk7pxZj,Miguel Poveda,200282,"flamenco, flamenco pop, fado",49,https://i.scdn.co/image/ab6761610000e5ebd36e8a62ee2ea273cbe95a23
5sqVBfJ96nXdHOG7jiWvKh,Josemi Carmona,9163,flamenco,47,https://i.scdn.co/image/ab6761610000e5eb98138ca670c6eb64332b7ec0
1dhhcNPTwfTrCjfUsrGK3C,Ainhoa,5152,,20,https://i.scdn.co/image/ab6761610000e5eb0a583d56770a05c1f1a86dc8
5x0cKaQOnhjtdeZMVpd8oH,ArtisteThot,5,,0,https://i.scdn.co/image/ab67616d0000b2733df2e5eba844fc535a9f1094
66ihevNkSYNzRAl44dx6jJ,Carin Leon,15146662,"banda, norteño, sierreño, corrido, grupera, ranchera, sad sierreño, música mexicana",86,https://i.scdn.co/image/ab6761610000e5eb374620b17c4a16d8c99f2369
5C4PDR4LnhZTbVnKWXuDKD,Morat,12904708,"colombian pop, latin pop",82,https://i.scdn.co/image/ab6761610000e5eb300488e7d301023f9d92d6cc
4boI7bJtmB1L3b1cuL75Zr,Mon Laferte,8586654,"latin alternative, latin indie",76,https://i.scdn.co/image/ab6761610000e5ebee4670df9b7112ff94b0eb6a
4AGwPDdh1y8hochNzHy5HC,RAC,169340,,55,https://i.scdn.co/image/ab6761610000e5eb1fd073cc30283438f8512ba6
796OSRuB0E9Hq55uTFL9U8,Raphael,959968,,60,https://i.scdn.co/image/ab6761610000e5eb96822478799640119e30628a
6oaqXcTI16QinRDKLtkMaI,David DeMaría,220030,"flamenco pop, flamenco",45,https://i.scdn.co/image/ab6761610000e5eb4f8f327ccb6ed41c9f91dbb9
1CWfLlYFee5DaOvGAAbjNv,Diego Carrasco,26098,"flamenco, flamenco pop",36,https://i.scdn.co/image/ab67616d0000b273192b0496f6e53128e4c8d480
6FOpWOxsjQxKEbLiJpU1xV,India Martinez,1026263,"flamenco, flamenco pop",63,https://i.scdn.co/image/ab6761610000e5ebe276b05a36b55befe4791f3c
2hRgsNuAo7lhUqmrl25WD5,The Artist Ren,1505,,27,https://i.scdn.co/image/ab6761610000e5ebb604a6798902efab5cb8ad91
7oeyEGN0XiJUynY5Zit8Gu,St3r10,474,,5,https://i.scdn.co/image/ab6761610000e5ebedb93e6a24a84de2b9dad967
4hRRLxPluhSwY9pwayJiBp,Malte Schlake,16,,3,https://i.scdn.co/image/ab6761610000e5eb019e563d500926a0fc6ccf10
4GV4Ftpx1owKKokpxlzAg3,Jack Knox,123,,7,https://i.scdn.co/image/ab6761610000e5ebf383085d300a687ab0f1e2ef
5gOJTI4TusSENizxhcG7jB,David Bisbal,4707983,latin pop,70,https://i.scdn.co/image/ab6761610000e5eb8ff3fe15657621b43b5acc1d
0qNxyg3R90E71P2zC2kLCl,Rosa López,25958,,31,https://i.scdn.co/image/ab6761610000e5ebf5ff7d36ead2fca7e7692e66
4uyqaioPEdClDxU6zvYlAZ,Pablo López,846981,,59,https://i.scdn.co/image/ab6761610000e5eb5258df18c925434ed930af3a
61qfSv4evYu82cqyJ7SRYn,José del Tomate,2829,flamenco,24,https://i.scdn.co/image/ab67616d0000b273f5a9c32da6a11b0a1b68eca1
2urF8dgLVfDjunO0pcHUEe,Alvaro Soler,1776259,,64,https://i.scdn.co/image/ab6761610000e5eb1d839fecf34bb98ec13ca4bd
7eLcDZDYHXZCebtQmVFL25,Aitana,3212842,,74,https://i.scdn.co/image/ab6761610000e5ebf0d30477dce2b89e7c6a13bc
3nlpTZci9O5W8RsNoNH559,Juan Luis Guerra 4.40,5791380,"merengue, bachata, salsa",76,https://i.scdn.co/image/ab6761610000e5eb36e73aaa27c05d08a125d38d
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,65887278,,91,https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,25651556,,83,https://i.scdn.co/image/ab6761610000e5ebe73dc6aa2598689da2e9476c
