id,label,followers,genres,popularity,image_url
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,8448451,latin,77,https://i.scdn.co/image/ab6761610000e5ebd7bb678bef6d2f26110cae49
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,100589796,,97,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
2p4aN0Uxkk3iT3HK0cJ2cJ,Tokischa,1424135,"dembow, neoperreo",70,https://i.scdn.co/image/ab6761610000e5ebef5f39dfc3f133ab974dbf3b
37230BxxYs9ksS7OkZw3IU,Chencho Corleone,1556719,reggaeton,76,https://i.scdn.co/image/ab6761610000e5eb7ab9ab65a8d38cad451d3417
5qjnPRE33rMgYAxIjGUrI7,Ralphie Choo,87603,,58,https://i.scdn.co/image/ab6761610000e5ebe5e11dc0527e5f010bfaf9b4
5L1lO4eRHmJ7a0Q6csE5cT,LISA,11136729,k-pop,80,https://i.scdn.co/image/ab6761610000e5eb5cd3b3af8b72e32be78571ec
7w29UYBi0qsHi5RTcv3lmA,Björk,2275213,"art pop, trip hop",63,https://i.scdn.co/image/ab6761610000e5ebaeb5c04fdd8ec6273850d207
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,26766596,"reggaeton, urbano latino, trap latino, latin",90,https://i.scdn.co/image/ab6761610000e5ebb271c8a0507c4c1ea795d989
4kYSro6naA4h99UJvo89HB,Cardi B,25093473,,79,https://i.scdn.co/image/ab6761610000e5eb4e8a7e14e2f602eb9af24e31
4xe6s55EDjpRpyZsrFoiWh,Haraca Kiko,117372,dembow,42,https://i.scdn.co/image/ab6761610000e5eb16618118b1620d7e10176e8f
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,24491217,"bachata, bachata pop, latin",84,https://i.scdn.co/image/ab6761610000e5eb6d8b48abede0f9e433aa6e49
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,108014958,,94,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,37189352,rap,92,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,38166951,"reggaeton, latin, trap latino, urbano latino",86,https://i.scdn.co/image/ab6761610000e5eb463e10d5f1a533ddd6eb9a04
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,37946338,"reggaeton, latin",87,https://i.scdn.co/image/ab6761610000e5ebdea08796d296a58c5d060439
1oMiDFyAgmIzw9ZBQYHOJI,El Guincho,63467,drill,57,https://i.scdn.co/image/ab6761610000e5ebbb7b34620040b2deefef3d3a
